Item;Location;Date;Demand;;;;
9906037;3;2025-02-01;13;;;;
9906037;3;2025-03-01;23;;;;
9062841;3;2021-04-01;163,99;;;;
9062841;3;2021-05-01;250;;;;
9062841;3;2021-06-01;293;;;;
9062841;3;2021-07-01;243,99;;;;
9062841;3;2021-08-01;230;;;;
9062841;3;2021-09-01;234;;;;
9062841;3;2021-10-01;236,98;;;;
9062841;3;2021-11-01;202,99;;;;
9062841;3;2021-12-01;231,99;;;;
9062841;3;2022-01-01;182;;;;
9062841;3;2022-02-01;188,93;;;;
9062841;3;2022-03-01;171;;;;
9062841;3;2022-04-01;162;;;;
9062841;3;2022-05-01;189;;;;
9062841;3;2022-06-01;190;;;;
9062841;3;2022-07-01;134,99;;;;
9062841;3;2022-08-01;170,99;;;;
9062841;3;2022-09-01;181,99;;;;
9062841;3;2022-10-01;195,98;;;;
9062841;3;2022-11-01;182,99;;;;
9062841;3;2022-12-01;156,99;;;;
9062841;3;2023-01-01;141;;;;
9062841;3;2023-02-01;139,95;;;;
9062841;3;2023-03-01;116;;;;
9062841;3;2023-04-01;59;;;;
9062841;3;2023-05-01;107;;;;
9062841;3;2023-06-01;109;;;;
9062841;3;2023-07-01;79,99;;;;
9062841;3;2023-08-01;82;;;;
9062841;3;2023-09-01;130;;;;
9062841;3;2023-10-01;139;;;;
9062841;3;2023-11-01;115;;;;
9062841;3;2023-12-01;101;;;;
9062841;3;2024-01-01;118;;;;
9062841;3;2024-02-01;99;;;;
9062841;3;2024-03-01;124,97;;;;
9062841;3;2024-04-01;83;;;;
9062841;3;2024-05-01;73;;;;
9062841;3;2024-06-01;105;;;;
9062841;3;2024-07-01;84;;;;
9062841;3;2024-08-01;90;;;;
9062841;3;2024-09-01;122,99;;;;
9062841;3;2024-10-01;101;;;;
9062841;3;2024-11-01;84;;;;
9062841;3;2024-12-01;92;;;;
9062841;3;2025-01-01;85;;;;
9062841;3;2025-02-01;77;;;;
9062841;3;2025-03-01;73;;;;
8345171;3;2021-04-01;28;;;;
8345171;3;2021-05-01;28;;;;
8345171;3;2021-06-01;32;;;;
8345171;3;2021-07-01;80;;;;
8345171;3;2021-08-01;31;;;;
8345171;3;2021-09-01;37;;;;
8345171;3;2021-10-01;16;;;;
8345171;3;2021-11-01;17;;;;
8345171;3;2021-12-01;20;;;;
8345171;3;2022-01-01;23;;;;
8345171;3;2022-02-01;10;;;;
8345171;3;2022-03-01;16;;;;
8345171;3;2022-04-01;15;;;;
8345171;3;2022-05-01;9;;;;
8345171;3;2022-06-01;10;;;;
8345171;3;2022-07-01;29;;;;
8345171;3;2022-08-01;20;;;;
8345171;3;2022-09-01;13;;;;
8345171;3;2022-10-01;21;;;;
8345171;3;2022-11-01;19;;;;
8345171;3;2022-12-01;9;;;;
8345171;3;2023-01-01;16;;;;
8345171;3;2023-02-01;16;;;;
8345171;3;2023-03-01;23;;;;
8345171;3;2023-04-01;9;;;;
8345171;3;2023-05-01;16;;;;
8345171;3;2023-06-01;18;;;;
8345171;3;2023-07-01;17;;;;
8345171;3;2023-08-01;6;;;;
8345171;3;2023-09-01;1;;;;
8345171;3;2023-10-01;16;;;;
8345171;3;2023-11-01;17;;;;
8345171;3;2023-12-01;6;;;;
8345171;3;2024-01-01;15;;;;
8345171;3;2024-02-01;8;;;;
8345171;3;2024-03-01;21;;;;
8345171;3;2024-04-01;13;;;;
8345171;3;2024-05-01;28;;;;
8345171;3;2024-06-01;35;;;;
8345171;3;2024-07-01;20;;;;
8345171;3;2024-08-01;25;;;;
8345171;3;2024-09-01;15;;;;
8345171;3;2024-10-01;30;;;;
8345171;3;2024-11-01;10;;;;
8345171;3;2024-12-01;8;;;;
8345171;3;2025-01-01;4;;;;
8345171;3;2025-02-01;1;;;;
8345171;3;2025-03-01;9;;;;
9142925;3;2021-04-01;44;;;;
9142925;3;2021-05-01;184;;;;
9142925;3;2021-06-01;107;;;;
9142925;3;2021-07-01;1107;;;;
9142925;3;2021-08-01;285;;;;
9142925;3;2021-09-01;129;;;;
9142925;3;2021-10-01;70;;;;
9142925;3;2021-11-01;92;;;;
9142925;3;2021-12-01;142;;;;
9142925;3;2022-01-01;51;;;;
9142925;3;2022-02-01;186;;;;
9142925;3;2022-03-01;203;;;;
9142925;3;2022-04-01;65;;;;
9142925;3;2022-05-01;98;;;;
9142925;3;2022-06-01;108;;;;
9142925;3;2022-07-01;197;;;;
9142925;3;2022-08-01;51;;;;
9142925;3;2022-09-01;103;;;;
9142925;3;2022-10-01;76;;;;
9142925;3;2022-11-01;64;;;;
9142925;3;2022-12-01;39;;;;
9142925;3;2023-01-01;186;;;;
9142925;3;2023-02-01;71;;;;
9142925;3;2023-03-01;57;;;;
9142925;3;2023-04-01;100;;;;
9142925;3;2023-05-01;129;;;;
9142925;3;2023-06-01;75;;;;
9142925;3;2023-07-01;286;;;;
9142925;3;2023-08-01;205;;;;
9142925;3;2023-09-01;128;;;;
9142925;3;2023-10-01;97;;;;
9142925;3;2023-11-01;95;;;;
9142925;3;2023-12-01;103;;;;
9142925;3;2024-01-01;120;;;;
9142925;3;2024-02-01;283;;;;
9142925;3;2024-03-01;156;;;;
9142925;3;2024-04-01;124;;;;
9142925;3;2024-05-01;100;;;;
9142925;3;2024-06-01;50;;;;
9142925;3;2024-07-01;95;;;;
9142925;3;2024-08-01;88;;;;
9142925;3;2024-09-01;67;;;;
9142925;3;2024-10-01;147;;;;
9142925;3;2024-11-01;51;;;;
9142925;3;2024-12-01;72;;;;
9142925;3;2025-01-01;89;;;;
9142925;3;2025-02-01;341;;;;
9142925;3;2025-03-01;107;;;;
9033337;3;2021-04-01;24;;;;
9033337;3;2021-05-01;99;;;;
9033337;3;2021-06-01;19;;;;
9033337;3;2021-07-01;28;;;;
9033337;3;2021-08-01;73;;;;
9033337;3;2021-09-01;57;;;;
9033337;3;2021-10-01;91;;;;
9033337;3;2021-11-01;106;;;;
9033337;3;2021-12-01;26;;;;
9033337;3;2022-01-01;63;;;;
9033337;3;2022-02-01;52;;;;
9033337;3;2022-03-01;60;;;;
9033337;3;2022-04-01;30;;;;
9033337;3;2022-05-01;21;;;;
9033337;3;2022-06-01;57;;;;
9033337;3;2022-07-01;50;;;;
9033337;3;2022-08-01;90;;;;
9033337;3;2022-09-01;47;;;;
9033337;3;2022-10-01;73;;;;
9033337;3;2022-11-01;29;;;;
9033337;3;2022-12-01;33;;;;
9033337;3;2023-01-01;56;;;;
9033337;3;2023-02-01;46;;;;
9033337;3;2023-03-01;56;;;;
9033337;3;2023-04-01;29;;;;
9033337;3;2023-05-01;49;;;;
9033337;3;2023-06-01;65;;;;
9033337;3;2023-07-01;36;;;;
9033337;3;2023-08-01;36;;;;
9033337;3;2023-09-01;10;;;;
9033337;3;2023-10-01;30;;;;
9033337;3;2023-11-01;35;;;;
9033337;3;2023-12-01;26;;;;
9033337;3;2024-01-01;25;;;;
9033337;3;2024-02-01;25;;;;
9033337;3;2024-03-01;49;;;;
9033337;3;2024-04-01;40;;;;
9033337;3;2024-05-01;39;;;;
9033337;3;2024-06-01;25;;;;
9033337;3;2024-07-01;65;;;;
9033337;3;2024-08-01;50;;;;
9033337;3;2024-09-01;65;;;;
9033337;3;2024-10-01;42;;;;
9033337;3;2024-11-01;32;;;;
9033337;3;2024-12-01;37;;;;
9033337;3;2025-01-01;24;;;;
9033337;3;2025-02-01;23;;;;
9033337;3;2025-03-01;36;;;;
9907735;3;2021-04-01;66;;;;
9907735;3;2021-05-01;93;;;;
9907735;3;2021-06-01;21;;;;
9907735;3;2021-07-01;29;;;;
9907735;3;2021-08-01;54;;;;
9907735;3;2021-09-01;97;;;;
9907735;3;2021-10-01;98;;;;
9907735;3;2021-11-01;150;;;;
9907735;3;2021-12-01;58;;;;
9907735;3;2022-01-01;96;;;;
9907735;3;2022-02-01;63;;;;
9907735;3;2022-03-01;67;;;;
9907735;3;2022-04-01;70;;;;
9907735;3;2022-05-01;61;;;;
9907735;3;2022-06-01;89;;;;
9907735;3;2022-07-01;54;;;;
9907735;3;2022-08-01;68;;;;
9907735;3;2022-09-01;52;;;;
9907735;3;2022-10-01;89;;;;
9907735;3;2022-11-01;96;;;;
9907735;3;2022-12-01;83;;;;
9907735;3;2023-01-01;114;;;;
9907735;3;2023-02-01;39;;;;
9907735;3;2023-03-01;66;;;;
9907735;3;2023-04-01;61;;;;
9907735;3;2023-05-01;103;;;;
9907735;3;2023-06-01;74;;;;
9907735;3;2023-07-01;34;;;;
9907735;3;2023-08-01;40;;;;
9907735;3;2023-09-01;67;;;;
9907735;3;2023-10-01;36;;;;
9907735;3;2023-11-01;121;;;;
9907735;3;2023-12-01;112;;;;
9907735;3;2024-01-01;162;;;;
9907735;3;2024-02-01;131;;;;
9907735;3;2024-03-01;115;;;;
9907735;3;2024-04-01;122;;;;
9907735;3;2024-05-01;81;;;;
9907735;3;2024-06-01;88;;;;
9907735;3;2024-07-01;100;;;;
9907735;3;2024-08-01;96;;;;
9907735;3;2024-09-01;30;;;;
9907735;3;2024-10-01;60;;;;
9907735;3;2024-11-01;64;;;;
9907735;3;2024-12-01;113;;;;
9907735;3;2025-01-01;137;;;;
9907735;3;2025-02-01;98;;;;
9907735;3;2025-03-01;109;;;;
9680126;3;2021-04-01;7;;;;
9680126;3;2021-05-01;21;;;;
9680126;3;2021-06-01;23;;;;
9680126;3;2021-07-01;29;;;;
9680126;3;2021-08-01;34;;;;
9680126;3;2021-09-01;17;;;;
9680126;3;2021-10-01;1;;;;
9680126;3;2021-11-01;19;;;;
9680126;3;2021-12-01;20;;;;
9680126;3;2022-01-01;26;;;;
9680126;3;2022-02-01;26;;;;
9680126;3;2022-03-01;15;;;;
9680126;3;2022-04-01;3;;;;
9680126;3;2022-05-01;4;;;;
9680126;3;2022-06-01;28;;;;
9680126;3;2022-07-01;14;;;;
9680126;3;2022-08-01;18;;;;
9680126;3;2022-09-01;21;;;;
9680126;3;2022-10-01;12;;;;
9680126;3;2022-11-01;13;;;;
9680126;3;2022-12-01;5;;;;
9680126;3;2023-01-01;15;;;;
9680126;3;2023-02-01;9;;;;
9680126;3;2023-03-01;24;;;;
9680126;3;2023-04-01;8;;;;
9680126;3;2023-05-01;18;;;;
9680126;3;2023-06-01;23;;;;
9680126;3;2023-07-01;19;;;;
9680126;3;2023-08-01;23;;;;
9680126;3;2023-09-01;10;;;;
9680126;3;2023-10-01;8;;;;
9680126;3;2023-11-01;12;;;;
9680126;3;2023-12-01;6;;;;
9680126;3;2024-01-01;9;;;;
9680126;3;2024-02-01;11;;;;
9680126;3;2024-03-01;16;;;;
9680126;3;2024-04-01;14;;;;
9680126;3;2024-05-01;21;;;;
9680126;3;2024-06-01;20;;;;
9680126;3;2024-07-01;20;;;;
9680126;3;2024-08-01;25;;;;
9680126;3;2024-09-01;24;;;;
9680126;3;2024-10-01;21;;;;
9680126;3;2024-11-01;4;;;;
9680126;3;2024-12-01;12;;;;
9680126;3;2025-01-01;7;;;;
9680126;3;2025-02-01;7;;;;
9680126;3;2025-03-01;13;;;;
10013001;3;2021-04-01;7;;;;
10013001;3;2021-05-01;20;;;;
10013001;3;2021-06-01;26;;;;
10013001;3;2021-07-01;14;;;;
10013001;3;2021-08-01;16;;;;
10013001;3;2021-09-01;19;;;;
10013001;3;2021-10-01;27;;;;
10013001;3;2021-11-01;31;;;;
10013001;3;2021-12-01;13;;;;
10013001;3;2022-01-01;14;;;;
10013001;3;2022-02-01;19;;;;
10013001;3;2022-03-01;40;;;;
10013001;3;2022-04-01;23;;;;
10013001;3;2022-05-01;43;;;;
10013001;3;2022-06-01;30;;;;
10013001;3;2022-07-01;27;;;;
10013001;3;2022-08-01;37;;;;
10013001;3;2022-09-01;28;;;;
10013001;3;2022-10-01;28;;;;
10013001;3;2022-11-01;21;;;;
10013001;3;2022-12-01;26;;;;
10013001;3;2023-01-01;15;;;;
10013001;3;2023-02-01;25;;;;
10013001;3;2023-03-01;17;;;;
10013001;3;2023-04-01;28;;;;
10013001;3;2023-05-01;36;;;;
10013001;3;2023-06-01;39;;;;
10013001;3;2023-07-01;24;;;;
10013001;3;2023-08-01;24;;;;
10013001;3;2023-09-01;16;;;;
10013001;3;2023-10-01;22;;;;
10013001;3;2023-11-01;25;;;;
10013001;3;2023-12-01;19;;;;
10013001;3;2024-01-01;17;;;;
10013001;3;2024-02-01;12;;;;
10013001;3;2024-03-01;29;;;;
10013001;3;2024-04-01;42;;;;
10013001;3;2024-05-01;26;;;;
10013001;3;2024-06-01;30;;;;
10013001;3;2024-07-01;20;;;;
10013001;3;2024-08-01;30;;;;
10013001;3;2024-09-01;24;;;;
10013001;3;2024-10-01;39;;;;
10013001;3;2024-11-01;26;;;;
10013001;3;2024-12-01;16;;;;
10013001;3;2025-01-01;17;;;;
10013001;3;2025-02-01;22;;;;
10013001;3;2025-03-01;24;;;;
9652047;3;2021-04-01;6;;;;
9652047;3;2021-05-01;22;;;;
9652047;3;2021-06-01;73;;;;
9652047;3;2021-07-01;42;;;;
9652047;3;2021-08-01;32;;;;
9652047;3;2021-09-01;37;;;;
9652047;3;2021-10-01;32;;;;
9652047;3;2021-11-01;41;;;;
9652047;3;2021-12-01;33;;;;
9652047;3;2022-01-01;22;;;;
9652047;3;2022-02-01;33;;;;
9652047;3;2022-03-01;65;;;;
9652047;3;2022-04-01;37;;;;
9652047;3;2022-05-01;31;;;;
9652047;3;2022-06-01;33;;;;
9652047;3;2022-07-01;39;;;;
9652047;3;2022-08-01;34;;;;
9652047;3;2022-09-01;37;;;;
9652047;3;2022-10-01;37;;;;
9652047;3;2022-11-01;20;;;;
9652047;3;2022-12-01;29;;;;
9652047;3;2023-01-01;47;;;;
9652047;3;2023-02-01;13;;;;
9652047;3;2023-03-01;35;;;;
9652047;3;2023-04-01;39;;;;
9652047;3;2023-05-01;49;;;;
9652047;3;2023-06-01;43;;;;
9652047;3;2023-07-01;86;;;;
9652047;3;2023-08-01;43;;;;
9652047;3;2023-09-01;64;;;;
9652047;3;2023-10-01;15;;;;
9652047;3;2023-11-01;21;;;;
9652047;3;2023-12-01;31;;;;
9652047;3;2024-01-01;33;;;;
9652047;3;2024-02-01;67;;;;
9652047;3;2024-03-01;50;;;;
9652047;3;2024-04-01;18;;;;
9652047;3;2024-05-01;32;;;;
9652047;3;2024-06-01;26;;;;
9652047;3;2024-07-01;22;;;;
9652047;3;2024-08-01;65;;;;
9652047;3;2024-09-01;67;;;;
9652047;3;2024-10-01;15;;;;
9652047;3;2024-11-01;24;;;;
9652047;3;2024-12-01;19;;;;
9652047;3;2025-01-01;26;;;;
9652047;3;2025-02-01;13;;;;
9652047;3;2025-03-01;5;;;;
9147270;3;2021-04-01;110;;;;
9147270;3;2021-05-01;440;;;;
9147270;3;2021-06-01;210;;;;
9147270;3;2021-07-01;150;;;;
9147270;3;2021-08-01;170;;;;
9147270;3;2021-09-01;50;;;;
9147270;3;2021-10-01;330;;;;
9147270;3;2021-11-01;130;;;;
9147270;3;2021-12-01;60;;;;
9147270;3;2022-01-01;60;;;;
9147270;3;2022-02-01;130;;;;
9147270;3;2022-03-01;160;;;;
9147270;3;2022-04-01;220;;;;
9147270;3;2022-05-01;140;;;;
9147270;3;2022-06-01;360;;;;
9147270;3;2022-07-01;130;;;;
9147270;3;2022-08-01;130;;;;
9147270;3;2022-09-01;60;;;;
9147270;3;2022-10-01;180;;;;
9147270;3;2022-11-01;150;;;;
9147270;3;2022-12-01;150;;;;
9147270;3;2023-01-01;80;;;;
9147270;3;2023-02-01;120;;;;
9147270;3;2023-03-01;160;;;;
9147270;3;2023-04-01;180;;;;
9147270;3;2023-05-01;80;;;;
9147270;3;2023-06-01;80;;;;
9147270;3;2023-07-01;124;;;;
9147270;3;2023-08-01;94;;;;
9147270;3;2023-09-01;164;;;;
9147270;3;2023-10-01;60;;;;
9147270;3;2023-11-01;110;;;;
9147270;3;2023-12-01;120;;;;
9147270;3;2024-01-01;80;;;;
9147270;3;2024-02-01;90;;;;
9147270;3;2024-03-01;80;;;;
9147270;3;2024-04-01;440;;;;
9147270;3;2024-05-01;110;;;;
9147270;3;2024-06-01;150;;;;
9147270;3;2024-07-01;244;;;;
9147270;3;2024-08-01;100;;;;
9147270;3;2024-09-01;70;;;;
9147270;3;2024-10-01;100;;;;
9147270;3;2024-11-01;100;;;;
9147270;3;2024-12-01;140;;;;
9147270;3;2025-01-01;390;;;;
9147270;3;2025-02-01;50;;;;
9147270;3;2025-03-01;100;;;;
8850878;3;2021-04-01;109;;;;
8850878;3;2021-05-01;125,99;;;;
8850878;3;2021-06-01;139;;;;
8850878;3;2021-07-01;133;;;;
8850878;3;2021-08-01;89;;;;
8850878;3;2021-09-01;133;;;;
8850878;3;2021-10-01;130;;;;
8850878;3;2021-11-01;104,95;;;;
8850878;3;2021-12-01;106;;;;
8850878;3;2022-01-01;88;;;;
8850878;3;2022-02-01;87;;;;
8850878;3;2022-03-01;108;;;;
8850878;3;2022-04-01;187;;;;
8850878;3;2022-05-01;100;;;;
8850878;3;2022-06-01;107;;;;
8850878;3;2022-07-01;119;;;;
8850878;3;2022-08-01;83;;;;
8850878;3;2022-09-01;92;;;;
8850878;3;2022-10-01;136;;;;
8850878;3;2022-11-01;136,95;;;;
8850878;3;2022-12-01;114;;;;
8850878;3;2023-01-01;57;;;;
8850878;3;2023-02-01;80;;;;
8850878;3;2023-03-01;100;;;;
8850878;3;2023-04-01;101;;;;
8850878;3;2023-05-01;123;;;;
8850878;3;2023-06-01;155;;;;
8850878;3;2023-07-01;82;;;;
8850878;3;2023-08-01;72;;;;
8850878;3;2023-09-01;129,92;;;;
8850878;3;2023-10-01;99;;;;
8850878;3;2023-11-01;80;;;;
8850878;3;2023-12-01;95;;;;
8850878;3;2024-01-01;82;;;;
8850878;3;2024-02-01;75;;;;
8850878;3;2024-03-01;93,97;;;;
8850878;3;2024-04-01;79;;;;
8850878;3;2024-05-01;120;;;;
8850878;3;2024-06-01;77;;;;
8850878;3;2024-07-01;99;;;;
8850878;3;2024-08-01;139,96;;;;
8850878;3;2024-09-01;132;;;;
8850878;3;2024-10-01;168;;;;
8850878;3;2024-11-01;111;;;;
8850878;3;2024-12-01;69;;;;
8850878;3;2025-01-01;82;;;;
8850878;3;2025-02-01;82,98;;;;
8850878;3;2025-03-01;76;;;;
8594295;3;2021-04-01;12;;;;
8594295;3;2021-05-01;29;;;;
8594295;3;2021-06-01;26;;;;
8594295;3;2021-07-01;20;;;;
8594295;3;2021-08-01;34;;;;
8594295;3;2021-09-01;35;;;;
8594295;3;2021-10-01;21;;;;
8594295;3;2021-11-01;16;;;;
8594295;3;2021-12-01;23;;;;
8594295;3;2022-01-01;21;;;;
8594295;3;2022-02-01;37;;;;
8594295;3;2022-03-01;28;;;;
8594295;3;2022-04-01;22;;;;
8594295;3;2022-05-01;25;;;;
8594295;3;2022-06-01;26;;;;
8594295;3;2022-07-01;30;;;;
8594295;3;2022-08-01;30;;;;
8594295;3;2022-09-01;17;;;;
8594295;3;2022-10-01;27;;;;
8594295;3;2022-11-01;5;;;;
8594295;3;2022-12-01;7;;;;
8594295;3;2023-01-01;5;;;;
8594295;3;2023-02-01;13;;;;
8594295;3;2023-03-01;2;;;;
8594295;3;2023-04-01;9;;;;
8594295;3;2023-05-01;9;;;;
8594295;3;2023-06-01;12;;;;
8594295;3;2023-07-01;34;;;;
8594295;3;2023-08-01;28;;;;
8594295;3;2023-09-01;32;;;;
8594295;3;2023-10-01;40;;;;
8594295;3;2023-11-01;24;;;;
8594295;3;2023-12-01;31;;;;
8594295;3;2024-01-01;24;;;;
8594295;3;2024-02-01;13;;;;
8594295;3;2024-03-01;43;;;;
8594295;3;2024-04-01;22;;;;
8594295;3;2024-05-01;21;;;;
8594295;3;2024-06-01;19;;;;
8594295;3;2024-07-01;41;;;;
8594295;3;2024-08-01;29;;;;
8594295;3;2024-09-01;38;;;;
8594295;3;2024-10-01;30;;;;
8594295;3;2024-11-01;41;;;;
8594295;3;2024-12-01;34;;;;
8594295;3;2025-01-01;51;;;;
8594295;3;2025-02-01;43;;;;
8594295;3;2025-03-01;40;;;;
8219230;3;2021-04-01;206;;;;
8219230;3;2021-05-01;472;;;;
8219230;3;2021-06-01;692;;;;
8219230;3;2021-07-01;587,98;;;;
8219230;3;2021-08-01;810;;;;
8219230;3;2021-09-01;789;;;;
8219230;3;2021-10-01;714,98;;;;
8219230;3;2021-11-01;885,99;;;;
8219230;3;2021-12-01;709,98;;;;
8219230;3;2022-01-01;531,96;;;;
8219230;3;2022-02-01;709;;;;
8219230;3;2022-03-01;450,98;;;;
8219230;3;2022-04-01;396;;;;
8219230;3;2022-05-01;624;;;;
8219230;3;2022-06-01;492;;;;
8219230;3;2022-07-01;489;;;;
8219230;3;2022-08-01;622,97;;;;
8219230;3;2022-09-01;485,98;;;;
8219230;3;2022-10-01;511,98;;;;
8219230;3;2022-11-01;527,99;;;;
8219230;3;2022-12-01;486,98;;;;
8219230;3;2023-01-01;447;;;;
8219230;3;2023-02-01;398;;;;
8219230;3;2023-03-01;385,98;;;;
8219230;3;2023-04-01;450;;;;
8219230;3;2023-05-01;460,91;;;;
8219230;3;2023-06-01;359;;;;
8219230;3;2023-07-01;327;;;;
8219230;3;2023-08-01;388;;;;
8219230;3;2023-09-01;431;;;;
8219230;3;2023-10-01;422;;;;
8219230;3;2023-11-01;350;;;;
8219230;3;2023-12-01;346;;;;
8219230;3;2024-01-01;307,99;;;;
8219230;3;2024-02-01;318,95;;;;
8219230;3;2024-03-01;331;;;;
8219230;3;2024-04-01;411;;;;
8219230;3;2024-05-01;334;;;;
8219230;3;2024-06-01;246;;;;
8219230;3;2024-07-01;327;;;;
8219230;3;2024-08-01;276;;;;
8219230;3;2024-09-01;362,98;;;;
8219230;3;2024-10-01;369;;;;
8219230;3;2024-11-01;334;;;;
8219230;3;2024-12-01;248;;;;
8219230;3;2025-01-01;226,95;;;;
8219230;3;2025-02-01;249;;;;
8219230;3;2025-03-01;261;;;;
9929508;3;2021-04-01;169;;;;
9929508;3;2021-05-01;509;;;;
9929508;3;2021-06-01;505;;;;
9929508;3;2021-07-01;580;;;;
9929508;3;2021-08-01;358;;;;
9929508;3;2021-09-01;224;;;;
9929508;3;2021-10-01;528;;;;
9929508;3;2021-11-01;607;;;;
9929508;3;2021-12-01;429;;;;
9929508;3;2022-01-01;306,97;;;;
